Remove Stop Words,Stemming,Weighting Scheme,Precision,Recall,F-Measure,MAP,DCG
False,False,lnc-itc,0.1,0.041666666666666664,0.058823529411764705,0.014583333333333332,0.6008577292262482
False,False,lnc-itc,0.25,0.09615384615384616,0.1388888888888889,0.10720551378446115,2.1241890452041163
False,False,lnc-itc,0.35,0.21212121212121213,0.26415094339622636,0.31341269841269837,3.5083530769113365
False,False,lnc-itc,0.3,0.10714285714285714,0.15789473684210525,0.11300420168067227,1.9585718701117916
False,False,lnc-itc,0.15,0.02608695652173913,0.04444444444444444,0.031442577030812324,0.929352987009487
False,False,lnc-itc,0.15,0.05,0.075,0.019106858054226475,0.760321158810889
False,False,lnc-itc,0.1,0.041666666666666664,0.058823529411764705,0.030555555555555558,0.8663386669380958
False,False,lnc-itc,0.35,0.05223880597014925,0.09090909090909091,0.1472832722832723,2.2055377351628005
False,False,lnc-itc,0.0,0.0,0,0,0
False,False,lnc-itc,0.05,0.008547008547008548,0.014598540145985403,0.01,0.38685280723454163
False,False,lnc-itc,0.15,0.15,0.15,0.07582417582417582,1.5959828683705268
False,False,lnc-itc,0.25,0.13157894736842105,0.1724137931034483,0.1108974358974359,1.8649981570043377
False,False,lnc-itc,0.3,0.13953488372093023,0.1904761904761905,0.06601540616246498,1.514894773180699
False,False,lnc-itc,0.0,0,0,0,0
False,False,lnc-itc,0.1,0.05,0.06666666666666667,0.026666666666666665,0.7890648263178879
False,False,lnc-itc,0.0,0,0,0,0
False,False,lnc-itc,0.1,0.1111111111111111,0.10526315789473685,0.010239651416122006,0.4898124665681315
False,False,lnc-itc,0.0,0,0,0,0
False,False,lnc-itc,0.2,0.36363636363636365,0.25806451612903225,0.15757575757575756,1.644227902341341
False,False,lnc-itc,0.05,0.02,0.02857142857142857,0.003333333333333333,0.25
False,False,lnc-itc,0.05,0.07692307692307693,0.060606060606060615,0.07692307692307693,1.0
False,False,lnc-itc,0.1,0.012903225806451613,0.022857142857142854,0.015263157894736843,0.6182310203943008
False,False,lnc-itc,0.15,0.03896103896103896,0.061855670103092786,0.034444444444444444,0.9463020090898913
False,False,lnc-itc,0.0,0.0,0,0,0
False,False,lnc-itc,0.0,0,0,0,0
False,False,lnc-itc,0.0,0,0,0,0
False,False,lnc-itc,0.05,0.029411764705882353,0.03703703703703704,0.004166666666666667,0.27023815442731974
False,False,lnc-itc,0.55,0.12359550561797752,0.2018348623853211,0.28780846346635813,3.7662403483168783
False,False,lnc-itc,0.0,0,0,0,0
False,False,lnc-itc,0.0,0.0,0,0,0
